pos[m] eKin rmsX rmsXp rmsY rmsYp rmsZ rmsdp_p  rmsZp phase time eKin x xp y yp z dp_p zp phase0 time0 eKin0 
+2.010855e+000      2.500270  +2.739408e-003 +1.132099e-002 +3.111410e-003 +1.040890e-002 +3.936417e-003 +9.985490e-004 +9.932542e-004 +2.612804e+001 +1.803177e-010 +4.986656e-003 -9.597200e-007 -8.578143e-006 -2.711784e-006 -1.014245e-005 +3.394178e-005 +5.360355e-005 +5.331932e-005 +2.252892e-001 +1.554791e-012 +2.676909e-004 
+2.060887e+000      2.500268  +2.659374e-003 +8.825703e-003 +3.008959e-003 +1.337589e-002 +3.935704e-003 +9.999820e-004 +9.946796e-004 +2.612332e+001 +1.802851e-010 +4.993808e-003 -1.558494e-006 -1.573108e-005 -2.773410e-006 +6.377275e-006 +3.328077e-005 +5.324403e-005 +5.296170e-005 +2.209018e-001 +1.524512e-012 +2.658953e-004 
+2.111387e+000      2.500265  +2.930128e-003 +8.213079e-003 +2.463424e-003 +1.288243e-002 +3.940941e-003 +1.010640e-003 +1.005281e-003 +2.615809e+001 +1.805251e-010 +5.047030e-003 -2.336598e-006 -1.604215e-005 -2.430690e-006 +8.601040e-006 +3.036221e-005 +5.274772e-005 +5.246803e-005 +2.015299e-001 +1.390820e-012 +2.634165e-004 
+2.161419e+000      2.500262  +2.978883e-003 +6.792417e-003 +2.054109e-003 +4.847654e-003 +3.951008e-003 +1.033623e-003 +1.028142e-003 +2.622493e+001 +1.809864e-010 +5.161796e-003 -2.893598e-006 -6.249230e-006 -2.232829e-006 +6.805156e-008 +3.004439e-005 +5.201141e-005 +5.173562e-005 +1.994205e-001 +1.376263e-012 +2.597390e-004 
+2.211571e+000      2.500434  +2.730968e-003 +6.413997e-003 +1.859713e-003 +3.221649e-003 +3.967479e-003 +1.070831e-003 +1.065153e-003 +2.633335e+001 +1.817347e-010 +5.347977e-003 -3.181173e-006 -4.539615e-006 -2.259659e-006 -1.615706e-006 +3.090054e-005 +4.423581e-005 +4.400124e-005 +2.050962e-001 +1.415433e-012 +2.209238e-004 
+2.262048e+000      2.495792  +2.430375e-003 +5.620975e-003 +1.732794e-003 +2.732322e-003 +3.950530e-003 +2.880823e-003 +2.865575e-003 +2.624514e+001 +1.811259e-010 +1.436081e-002 -3.408706e-006 -4.305949e-006 -2.376888e-006 -3.650346e-006 +4.105437e-005 +1.477746e-004 +1.469924e-004 +2.727425e-001 +1.882281e-012 +7.366515e-004 
+2.312464e+000      2.500084  +2.172227e-003 +5.344287e-003 +1.641312e-003 +2.563132e-003 +3.837658e-003 +2.463527e-003 +2.450465e-003 +2.547347e+001 +1.758003e-010 +1.230170e-002 -3.652067e-006 -4.936739e-006 -2.575903e-006 -3.960269e-006 +4.103798e-005 +2.228947e-005 +2.217128e-005 +2.724004e-001 +1.879920e-012 +1.113032e-004 
+2.362821e+000      2.500077  +1.926798e-003 +5.161847e-003 +1.563780e-003 +2.451381e-003 +3.732390e-003 +2.322304e-003 +2.309991e-003 +2.477476e+001 +1.709783e-010 +1.159646e-002 -3.910541e-006 -5.218401e-006 -2.779330e-006 -4.075077e-006 +4.084522e-005 +2.072750e-005 +2.061760e-005 +2.711213e-001 +1.871093e-012 +1.035031e-004 
+2.413262e+000      2.500069  +1.692511e-003 +4.971269e-003 +1.496714e-003 +2.350997e-003 +3.632662e-003 +2.175929e-003 +2.164392e-003 +2.411282e+001 +1.664101e-010 +1.086550e-002 -4.180321e-006 -5.544169e-006 -2.988844e-006 -4.224657e-006 +4.067084e-005 +1.917838e-005 +1.907670e-005 +2.699642e-001 +1.863107e-012 +9.576726e-005 
+2.463494e+000      2.500062  +1.504233e-003 +4.750930e-003 +1.471235e-003 +2.296070e-003 +3.555632e-003 +2.010989e-003 +2.000327e-003 +2.360155e+001 +1.628817e-010 +1.004185e-002 -4.491381e-006 -6.038717e-006 -3.219906e-006 -4.508442e-006 +4.057008e-005 +1.769592e-005 +1.760209e-005 +2.692958e-001 +1.858494e-012 +8.836433e-005 
